ranking,score,movie_name,score_num
193,8.6,卡萨布兰卡,116963
194,8.5,被解救的姜戈,243620
195,8.6,燕尾蝶,103408
196,8.7,末路狂花,97178
197,8.5,这个男人来自地球,164401
198,8.5,终结者2：审判日,132011
199,8.4,变脸,201678
200,8.4,英国病人,165635
201,9.0,忠犬八公物语,51530
202,8.4,青蛇,203069
203,8.5,E.T. 外星人,142682
204,8.8,哪吒闹海,73362
205,8.6,叫我第一名,102384
206,8.3,源代码,383447
207,8.4,发条橙,174922
208,9.1,黄金三镖客,47329
209,8.4,新龙门客栈,169457
210,8.5,黑客帝国3：矩阵革命,143759
211,8.4,美国丽人,172554
212,8.3,穆赫兰道,218752
213,8.6,非常嫌疑犯,108032
214,9.2,城市之光,39381
215,8.4,无耻混蛋,208955
216,8.6,上帝也疯狂,90283
217,8.2,初恋这件小事,426617
218,8.9,勇士,81933
219,9.0,爱·回家,44324
220,8.3,蓝色大门,259799
221,8.3,曾经,192984
222,8.5,模仿游戏,232905
223,8.6,无敌破坏王,173236
224,8.7,大卫·戈尔的一生,81459
225,8.5,麦兜故事,120063
226,8.5,血钻,119619
227,8.4,暖暖内含光,135320
228,8.6,蝴蝶,91097
229,8.3,国王的演讲,315328
230,8.5,遗愿清单,116245
231,8.6,巴黎淘气帮,100136
232,8.9,与狼共舞,53220
233,8.7,爱在午夜降临前,104963
234,8.6,枪火,90886
235,8.4,荒岛余生,122635
236,8.2,疯狂的石头,286209
237,8.5,偷拐抢骗,108948
238,8.7,千钧一发,76663
239,8.3,夜访吸血鬼,186411
240,8.5,月球,132932
241,9.0,我爱你,50903
242,8.8,寿司之神,75631
243,8.7,中央车站,72376
244,8.3,爱在暹罗,209608
245,8.5,廊桥遗梦,91039
246,8.4,罪恶之城,132928
247,8.4,彗星来的那一夜,151531
248,8.1,两小无猜,303544
249,8.5,黑鹰坠落,101943
250,8.2,假如爱有天意,217808
